공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩(웅진),웹소설,9764,계약 임신,,신은수,303200,303200,68692.2,234507.8,164140,0,164140
스토린랩(웅진),웹소설,7683,온전하지 못한 관계,,하루가 너무 길다,289300,289300,69942.3,219357.7,153541,0,153541
스토린랩(웅진),웹소설,7715,미드썸머,,솧,143300,143300,38077.2,105222.8,73654,0,73654
스토린랩(웅진),웹소설,7721,그 남자를 주웠다,,하빕티,109500,109500,27910.5,81589.5,57108,0,57108
스토린랩(웅진),웹소설,7185,신이 내린 투자 천재,,해달벗,22600,22600,1146.3,21453.7,15016,0,15016
스토린랩(웅진),웹소설,7677,젖어드는 전남편,,하빕티,19500,19500,5850,13650,9555,0,9555
스토린랩(웅진),웹소설,7195,재벌가 검은 머리 막내 도련님,,단팥빵소년,13200,13200,435.6,12764.4,8934,0,8934
스토린랩(웅진),웹소설,7720,이혼은 없어 ,,이로이,11300,11300,3390,7910,5537,0,5537
스토린랩(웅진),웹소설,7673,달라진 건 없지만,,leda,11000,11000,3300,7700,5390,0,5390
스토린랩(웅진),웹소설,7719,아내에게 미치면 ,,봄그린,10600,10600,3153.3,7446.7,5212,0,5212
스토린랩(웅진),웹소설,7678,쉴 틈 없이 사랑해주세요,,하루가 너무 길다,9200,9200,2546.4,6653.6,4657,0,4657
스토린랩(웅진),웹소설,7714,섬,,솧,9200,9200,2760,6440,4508,0,4508
스토린랩(웅진),웹소설,9766,곱게 미쳐 줄게요,,느린돌,8900,8900,320.4,8579.6,6005,0,6005
스토린랩(웅진),웹소설,9775,"언니, 남편만 바꿀게",,이은비,8900,8900,320.4,8579.6,6005,0,6005
스토린랩(웅진),웹소설,7183,천하제일인 환생했다,,우태진,7900,7900,2370,5530,3871,0,3871
스토린랩(웅진),웹소설,7680,흔적도 없이 ,,짙은,7900,7900,2370,5530,3871,0,3871
스토린랩(웅진),웹소설,7189,만능돌로 살아가는 법,,강교문,5400,5400,1620,3780,2646,0,2646
스토린랩(웅진),웹소설,7684,차 비서가 탐나면,,이봄아,5400,5400,204.9,5195.1,3634,0,3634
스토린랩(웅진),웹소설,7682,후회해도 ,,짙은,5200,5200,1453.2,3746.8,2622,0,2622
스토린랩(웅진),웹소설,7727,아내 역할,,이리안,5100,5100,1530,3570,2499,0,2499
스토린랩(웅진),웹소설,7686,남편감,,짙은,4600,4600,1380,3220,2254,0,2254
스토린랩(웅진),웹소설,7722,우아한 개자식,,봄그린,3600,3600,145.5,3454.5,2415,0,2415
스토린랩(웅진),웹소설,9771,다정한 미친놈,,채우솔,2400,2400,105.9,2294.1,1602,0,1602
스토린랩(웅진),웹소설,9778,조작된 밤,,진다래,2300,2300,690,1610,1127,0,1127
스토린랩(웅진),웹소설,7717,못된 오빠,,평온한,1900,1900,570,1330,931,0,931
스토린랩(웅진),웹소설,9769,선물 아내,,"청산, 연서",1700,1700,510,1190,833,0,833
스토린랩(웅진),웹소설,9763,결혼 사유,,짙은,1400,1400,259.8,1140.2,798,0,798
스토린랩(웅진),웹소설,9776,임신 사정,,짙은,1300,1300,390,910,637,0,637
스토린랩(웅진),웹소설,7675,베드 파트너,,이로이,1200,1200,279.9,920.1,644,0,644
스토린랩(웅진),웹소설,7685,남편과 파트너 사이 ,,느린돌,800,800,106.5,693.5,485,0,485
스토린랩(웅진),웹소설,7184,멸문세가 소가주,,지인,600,600,180,420,294,0,294
스토린랩(웅진),웹소설,9768,마지막 로미오,,leda,600,600,19.8,580.2,406,0,406
스토린랩(웅진),웹소설,7202,이세계 전생했더니 영지민들이 날 너무 좋아함,,김망초,500,500,16.5,483.5,338,0,338
스토린랩(웅진),웹소설,9027,다시 사랑한다면,,이리스,500,500,16.5,483.5,338,0,338
스토린랩(웅진),웹소설,7728,몰락,,최강토끼,300,300,90,210,147,0,147
스토린랩(웅진),웹소설,7676,이혼의 목적,,이봄아,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7687,스며들기 전에,,하루가 너무 길다,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7688,뜨겁게 박히다,,느린돌,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7718,불복종의 이유,,이로이,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7723,소유의 밤 ,,강가을,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7725,언니의 첫날밤을 훔쳤다,,느린돌,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7726,배덕한 스캔들,,이리안,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,7730,나쁜 후배,,이리안,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9765,고결한 동맹,,소낙연(笑樂緣),100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9770,그에게서 벗어나는 방법,,쉬엔즈,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9772,세러피스트,,leda,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9774,어차피 사랑,,모리미,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9777,오빠 닮은 아이,,최강토끼,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9779,첫 번째 뉴스입니다,,HADA,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9781,중독된 밤,,서인,100,100,30,70,49,0,49
