공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩,웹소설,12330,너의 숨결에,사막여우,소낙연,722100,722100,179490.3,542609.7,379808,0,379808
스토린랩,웹소설,12315,독보강호의 귀환,심월(心月),천우한,360400,360400,99949.8,260450.2,182311,0,182311
스토린랩,웹소설,11772,장부귀환,매드햇,불군(不群),285200,285200,65057.48,220142.52,154087,0,154087
스토린랩,웹소설,11917,서로에 미친 밤,하트퀸,서아랑,261800,261800,72772.8,189027.2,132314,0,132314
스토린랩,웹소설,12306,하오문의 절대검신,드림북스,정천,217900,217900,62886.9,155013.1,108505,0,108505
스토린랩,웹소설,11899,백룡선생,드림북스,시니어,205000,205000,48096.6,156903.4,109824,0,109824
스토린랩,웹소설,11985,비서님 모시기,사막여우,허이령,178100,178100,50733.3,127366.7,89152,0,89152
스토린랩,웹소설,11784,삼초살,매드햇,설봉,173000,173000,38229.6,134770.4,94326,0,94326
스토린랩,웹소설,12309,뒤바뀐 남편,하트퀸,리키,151400,151400,35354.1,116045.9,81221,0,81221
스토린랩,웹소설,11915,도비,매드햇,설봉,127100,127100,30514.3,96585.7,67605,0,67605
스토린랩,웹소설,11980,너를 그리다,사막여우,김수정C,118700,118700,32032.2,86667.8,60662,0,60662
스토린랩,웹소설,11971,"넌 항상 날, 쉽게 버려",사막여우,민시윤,92200,92200,22613.7,69586.3,48706,0,48706
스토린랩,웹소설,11900,무당광마,드림북스,자망,89100,89100,26298.68,62801.32,43960,0,43960
스토린랩,웹소설,11767,사천사,매드햇,설봉,88200,88200,23442.9,64757.1,45329,0,45329
스토린랩,웹소설,8917,역전무사,히어로블,해리(海鯉),87700,87700,25803.72,61896.28,43324,0,43324
스토린랩,웹소설,11782,중산(重山),매드햇,필환,87600,87600,22221.6,65378.4,45759,0,45759
스토린랩,웹소설,11888,청성마검,드림북스,묵공,79400,79400,19200.9,60199.1,42134,0,42134
스토린랩,웹소설,11927,무능한 장남이 이혼 후 효도함,ARC,만슬라,40300,40300,4667.4,35632.6,24924,0,24924
스토린랩,웹소설,12314,검출형산,심월(心月),일편소엽,38300,38300,10715.7,27584.3,19306,0,19306
스토린랩,웹소설,11979,도피 결혼,사막여우,김윤,35400,35400,7416,27984,19585,0,19585
스토린랩,웹소설,11906,미친 광해가 정신을 되찾음,매드햇,브루마블,34400,34400,10266.6,24133.4,16893,0,16893
스토린랩,웹소설,11914,망나니 검사가 달라졌다,매드햇,안현,28500,28500,5586.3,22913.7,16037,0,16037
스토린랩,웹소설,11925,낯선 재회,사막여우,한윤채,22900,22900,6229.2,16670.8,11668,0,11668
스토린랩,웹소설,11939,저주받은 공작의 하녀가 되었다,사막여우,서온조,21800,21800,3976.8,17823.2,12475,0,12475
스토린랩,웹소설,10658,회귀무사가 좀 밝힘,매드햇,월하무객,17500,17500,577.5,16922.5,11842,0,11842
스토린랩,웹소설,7835,침대 위의 대표님,하트퀸,왕기대,17400,17400,4605.9,12794.1,8955,0,8955
스토린랩,웹소설,11029,아기천마 수신호위,ARC,지인,15600,15600,514.8,15085.2,10557,0,10557
스토린랩,웹소설,11079,천하제일 상단주,ARC,지인,15200,15200,4560,10640,7448,0,7448
스토린랩,웹소설,11913,오빠가 해줄게,하트퀸,진숙,15100,15100,4076.1,11023.9,7716,0,7716
스토린랩,웹소설,10059,증권 재벌의 천재 손자가 되었다,매드햇,번파,14100,14100,2200.8,11899.2,8326,0,8326
스토린랩,웹소설,11780,요절할 대공자는 오래 살고싶다,매드햇,겨울반디,13500,13500,1486.8,12013.2,8407,0,8407
스토린랩,웹소설,12316,혁련세가 차남이 되었다,매드햇,타바타바,12200,12200,3660,8540,5978,0,5978
스토린랩,웹소설,11942,"전하, 연애 말고 결혼해요",사막여우,발칙한야옹이,12000,12000,3600,8400,5880,0,5880
스토린랩,웹소설,11781,검왕조,매드햇,무죄(无罪),11100,11100,2822.7,8277.3,5793,0,5793
스토린랩,웹소설,11976,"이제, 가족을 버릴 시간입니다",사막여우,프롤리,10900,10900,3270,7630,5341,0,5341
스토린랩,웹소설,8964,맛보게 해줘,하트퀸,무하,10500,10500,2936.4,7563.6,5294,0,5294
스토린랩,웹소설,11983,둘만 아는 결혼,사막여우,곰씨와 함께,9400,9400,2686.5,6713.5,4699,0,4699
스토린랩,웹소설,11938,찬란한 이혼,사막여우,알렛(소나무다),8200,8200,2460,5740,4018,0,4018
스토린랩,웹소설,10651,간헐적 파트너,하트퀸,늴리리야,7800,7800,2206.5,5593.5,3915,0,3915
스토린랩,웹소설,8927,동네 약사는 전생 독마였다,매드햇,김하시,7500,7500,247.5,7252.5,5076,0,5076
스토린랩,웹소설,11919,힘을 숨겨도 공녀가 제일 강함,앨리스,설윤영,7200,7200,2160,5040,3528,0,3528
스토린랩,웹소설,7821,이중 이혼 합의서,하트퀸,김민,5900,5900,1770,4130,2891,0,2891
