작품명,작품코드,작가명,단가,판매건수,비율,정산금액,정산일
"제독 미하엘",1342336,[[보헤미아]],100,192,60%,11520,2026.02.06
"[BL] 교합",1372376,[[[마뇽]]],200,13,60%,1560,2026.02.06
"별들의 게임",1407809,[[비류수]],100,53,60%,3180,2026.02.06
"마이 도미넌트",1415812,쑈체,100,12,60%,720,2026.02.06
"문과라도 안 죄송한 이세계로 감",1424034,정수읠,100,15,60%,900,2026.02.06
"폭풍의 한반도",1443951,[[비류수]],100,93,60%,5580,2026.02.06
"보호해줘, 오빠",1501153,[[서아랑]],100,3,60%,180,2026.02.06
"[BL] 트웨니 포 세븐(Twenty-four Seven)",1529919,[혜율],100,1,60%,60,2026.02.06
"[연재] 짜릿한 회귀로 역대급 재벌!",1544950,[강바기],100,1,60%,60,2026.02.06
"[연재] 멸망한 세계의 꿀벌",1557050,[[[신광호]]],100,43,60%,2580,2026.02.06
"10년 지나 천재 작가",1652343,꿈속의나.,100,57,60%,3420,2026.02.06
"가수는 아무나 하나?",1652380,꿈속의나.,100,33,60%,1980,2026.02.06
"재벌 사위 말고 재벌 하겠습니다",1656162,해달벗.,100,2,60%,120,2026.02.06
"만능돌로 살아가는 법",1656808,강교문.,100,42,60%,2520,2026.02.06
"프랑스 해군제독이 되었다",1662383,알자스.,100,2,60%,120,2026.02.06
"삼국지: 조조의 장남이 되었다",1684311,[검은방],100,14,60%,840,2026.02.06
"전직 킬러 헌터 되다",1686846,[[[김기세]]],100,6,60%,360,2026.02.06
"신 발해, 세상 평정기",1693060,[[비류수]],100,79,60%,4740,2026.02.06
"잘 고쳐서 탑아이돌",1693061,호박맥주,100,2,60%,120,2026.02.06
"증권 재벌의 천재 손자가 되었다",1693062,번파,100,14,60%,840,2026.02.06
화력조선,1694308,[[보헤미아]],100,186,60%,11160,2026.02.06
"경찰이 너무 강함",1695833,[[[김기세]]],100,50,60%,3000,2026.02.06
"선물 아내",1710116,청산연서,100,16,60%,960,2026.02.06
"이혼 3초컷 완료해드림",1712554,황지구,100,44,60%,2640,2026.02.06
오니,1716063,U채.,100,120,60%,7200,2026.02.06
"저주받은 공작가의 안주인이 되어 버렸다",1717597,김솜솜.,100,6,60%,360,2026.02.06
"크고 잘생긴 오빠 친구",1717600,[[채하정]],100,18,60%,1080,2026.02.06
"구원하려다 같이 데뷔함",1720446,윤선후.,100,2,60%,120,2026.02.06
"흔해빠진 사이",1734663,[[[마뇽]]],100,18,60%,1080,2026.02.06
"훼손된 자리에 남은 것은",1734978,[몽슈],100,1,60%,60,2026.02.06
"신이 내린 투자 천재",1735089,해달벗.,100,5,60%,300,2026.02.06
"황태자님, 작작하세요",1748896,[[[세레나향기]]],100,7,60%,420,2026.02.06
"천재 투수가 170km를 숨김",1755586,단팥빵소년.,100,125,60%,7500,2026.02.06
신참례,1757348,[[[마뇽]]],100,23,60%,1380,2026.02.06
미제,1762554,[밤라다],100,1,60%,60,2026.02.06
"인생 2회차 철종의 슬기로운 정복생활",1763764,[MOOHA],100,93,60%,5580,2026.02.06
"겁도 없이 지원했습니다!",1769201,윈터나잇.,100,21,60%,1260,2026.02.06
"이세계 전생했더니 영지민들이 날 너무 좋아함",1775737,김망초.,100,298,60%,17880,2026.02.06
"용사가 죽지 않음",1782036,[군만두],100,7,60%,420,2026.02.06
"충직한 검이 되려 했는데",1786838,시이온.,100,1,60%,60,2026.02.06
"메디시스가의 오메가",1787968,코네꼬.,100,477,60%,28620,2026.02.06
남편감,1789272,짙은.,100,4,60%,240,2026.02.06
"탑 찍어야 살아남는 천재 작곡가",1790400,멜디브,100,17,60%,1020,2026.02.06
"충무공의 아들이 되었다",1793207,[보헤미아],100,238,60%,14280,2026.02.06
"칼레이 백작가의 매맞이 하녀",1799349,[뮤사203],100,210,60%,12600,2026.02.06
"별종을 위한 요람과 쇠사슬",1805215,[빈르].,100,180,60%,10800,2026.02.06
"가난한 남편이 가문을 숨김",1808579,슬라.,100,204,60%,12240,2026.02.06
"언니, 남편만 바꿀게",1816849,이은비.,100,36,60%,2160,2026.02.06
"성기사를 삼킨 마녀",1816851,김캐럿.,100,27,60%,1620,2026.02.06
"칡 아닌데요!",1819195,sojerry,100,19,60%,1140,2026.02.06
"재회의 늪",1819676,[[[[아뜨]]]],100,4,60%,240,2026.02.06
"계약 결혼인데 가족들에게 너무 사랑받는 것 같습니다",1823795,[희운],100,139,60%,8340,2026.02.06
"마검, 화산 가다",1831154,[[[겨울반디]]],100,4,60%,240,2026.02.06
"시한부 아이돌이 살아남는 법",1831159,[해날],100,242,60%,14520,2026.02.06
"기갑전선에서 살아가는 법",1831986,감튀이이이,100,130,60%,7800,2026.02.06
"정령의 펜던트",1833418,[발렌],100,14,60%,840,2026.02.06
"용살자의 클래스가 다른 회귀",1833419,헥토파스칼.해경,100,48,60%,2880,2026.02.06
"천재 공학자는 투자가 너무 쉽다",1834299,toAny,100,10,60%,600,2026.02.06
"비자금 사냥꾼",1834301,[파라모르템],100,39,60%,2340,2026.02.06
"축구천재는 명장이 됩니다",1834302,[[[주노드]]],100,16,60%,960,2026.02.06
"무한의 강화사",1834433,[[오렌]],100,8,60%,480,2026.02.06
철혈검신,1834443,[[해경]],100,1,60%,60,2026.02.06
"서문세가 천재 망나니",1835392,늦출,100,52,60%,3120,2026.02.06
북해무신,1835396,[정천],100,1,60%,60,2026.02.06
"재벌에서 광복군까지",1838773,빛나는구름,100,1428,60%,85680,2026.02.06
"힘을 숨겨도 공녀가 제일 강함",1849826,설윤영,100,22,60%,1320,2026.02.06
"오만한 주인의 초상화",1849842,offnun(오프넌),100,327,60%,19620,2026.02.06
"번갯불에 콩 볶듯이",1849850,라디칼.,100,184,60%,11040,2026.02.06
