공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩,웹소설,12306,하오문의 절대검신,드림북스,정천,250700,250700,54437.4,196262.6,137362,0,137362
스토린랩,웹소설,12315,독보강호의 귀환,심월(心月),천우한,185000,185000,50907.6,134092.4,93861,0,93861
스토린랩,웹소설,12330,너의 숨결에,사막여우,소낙연,152000,152000,43944.6,108055.4,75635,0,75635
스토린랩,웹소설,11888,청성마검,드림북스,묵공,94100,94100,18911.7,75188.3,52627,0,52627
스토린랩,웹소설,12314,검출형산,심월(心月),일편소엽,83300,83300,24990,58310,40817,0,40817
스토린랩,웹소설,11889,전진부활,드림북스,교암,66900,66900,14276.1,52623.9,36835,0,36835
스토린랩,웹소설,11890,위씨세가 마신공자,드림북스,무불위,54000,54000,13797,40203,28141,0,28141
스토린랩,웹소설,11971,"넌 항상 날, 쉽게 버려",사막여우,민시윤,28200,28200,8460,19740,13818,0,13818
스토린랩,웹소설,11985,비서님 모시기,사막여우,허이령,25700,25700,5547.3,20152.7,14106,0,14106
스토린랩,웹소설,11900,무당광마,드림북스,자망,24600,24600,811.8,23788.2,16649,0,16649
스토린랩,웹소설,11915,도비,매드햇,설봉,23400,23400,2774.7,20625.3,14432,0,14432
스토린랩,웹소설,11906,미친 광해가 정신을 되찾음,매드햇,브루마블,17700,17700,5310,12390,8673,0,8673
스토린랩,웹소설,12319,"아연, 불쌍하고 어여쁜",시계토끼,셀레네,17100,17100,3474.6,13625.4,9536,0,9536
스토린랩,웹소설,8917,역전무사,히어로블,해리(海鯉),15300,15300,3602.1,11697.9,8188,0,8188
스토린랩,웹소설,12309,뒤바뀐 남편,하트퀸,리키,13300,13300,3990,9310,6517,0,6517
스토린랩,웹소설,12328,잘못된 결혼을 끝내려 합니다,사막여우,유즈,11300,11300,3390,7910,5537,0,5537
스토린랩,웹소설,11945,사직 후 계약 아내,사막여우,새록,9200,9200,303.6,8896.4,6225,0,6225
스토린랩,웹소설,11772,장부귀환,매드햇,불군(不群),7400,7400,2220,5180,3626,0,3626
스토린랩,웹소설,7835,침대 위의 대표님,하트퀸,왕기대,6600,6600,1980,4620,3234,0,3234
스토린랩,웹소설,11781,검왕조,매드햇,무죄(无罪),5900,5900,1770,4130,2891,0,2891
스토린랩,웹소설,7838,나쁜 하룻밤,하트퀸,셔틀,5800,5800,1740,4060,2842,0,2842
스토린랩,웹소설,11774,카자크 대륙정벌기,매드햇,비류수,4900,4900,1470,3430,2401,0,2401
스토린랩,웹소설,11782,중산(重山),매드햇,필환,4700,4700,1410,3290,2303,0,2303
스토린랩,웹소설,11927,무능한 장남이 이혼 후 효도함,ARC,만슬라,3300,3300,108.9,3191.1,2227,0,2227
스토린랩,웹소설,12316,혁련세가 차남이 되었다,매드햇,타바타바,2900,2900,870,2030,1421,0,1421
스토린랩,웹소설,9726,살문,매드햇,김기세,2500,2500,750,1750,1225,0,1225
스토린랩,웹소설,10094,갖기 위해선 무엇이든,하트퀸,빵곰탕,2400,2400,720,1680,1176,0,1176
스토린랩,웹소설,12318,애완견의 법칙,하트퀸,이현성,1800,1800,299.7,1500.3,1050,0,1050
스토린랩,웹소설,11079,천하제일 상단주,ARC,지인,1300,1300,390,910,637,0,637
스토린랩,웹소설,9751,로맨스의 종말,하트퀸,반유훤,1200,1200,39.6,1160.4,812,0,812
스토린랩,웹소설,10062,경찰이 너무 강함,매드햇,김기세,1000,1000,300,700,490,0,490
스토린랩,웹소설,7651,"마검, 화산 가다",매드햇,겨울반디,800,800,26.4,773.6,536,0,536
스토린랩,웹소설,7652,강호초출 마교주,매드햇,청염,800,800,240,560,392,0,392
스토린랩,웹소설,7824,우리 헤어질 수 있을까?,하트퀸,초콜릿악마,600,600,46.5,553.5,387,0,387
스토린랩,웹소설,10100,최악의 아내가 되어줘,하트퀸,이라에리,600,600,19.8,580.2,406,0,406
스토린랩,웹소설,7822,전남편이 부임했다,하트퀸,왕기대,400,400,13.2,386.8,270,0,270
스토린랩,웹소설,10099,입주 제안,하트퀸,로반,300,300,9.9,290.1,203,0,203
스토린랩,웹소설,10650,굴러 들어온 남편,하트퀸,바가지,300,300,9.9,290.1,203,0,203
스토린랩,웹소설,11784,삼초살,매드햇,설봉,200,200,60,140,98,0,98
스토린랩,웹소설,11938,찬란한 이혼,사막여우,알렛(소나무다),200,200,6.6,193.4,135,0,135
스토린랩,웹소설,9732,완벽한 구속,하트퀸,모리미,100,100,30,70,49,0,49
스토린랩,웹소설,10097,뭐 같은 그놈,하트퀸,녕국,100,100,30,70,49,0,49
스토린랩,웹소설,11083,회귀해서 기사멸조,ARC,슬픈딸기우유,100,100,30,70,49,0,49
스토린랩,웹소설,11780,요절할 대공자는 오래 살고싶다,매드햇,겨울반디,100,100,3.3,96.7,67,0,67
