작품명,작품코드,작가명,단가,판매건수,비율,정산금액,정산일
"중독된 장난",1137767,[황이라],150,12,60%,1080,2026.01.06
"[BL] 인턴",1297268,[송루나],100,4,60%,240,2026.01.06
"[BL] 사로잡힌 후궁 - 후궁시리즈 2부",1329728,[엘라온],100,1,60%,60,2026.01.06
"[BL] 구렁 선비전",1331654,[[[마뇽]]],200,2,60%,240,2026.01.06
"대물 스카우터",1370447,[휴도],100,41,60%,2460,2026.01.06
"[BL] 교합",1372376,[[[마뇽]]],200,13,60%,1560,2026.01.06
"개 셋",1387870,[FROM나인],100,1,60%,60,2026.01.06
"도련님의 취향",1391348,문언희,100,36,60%,2160,2026.01.06
"별들의 게임",1407809,[[비류수]],100,218,60%,13080,2026.01.06
"다정한 전남편",1410276,윤아진,100,15,60%,900,2026.01.06
"결혼을 반납하다",1410405,[리브],100,3,60%,180,2026.01.06
"문과라도 안 죄송한 이세계로 감",1424034,정수읠,100,39,60%,2340,2026.01.06
"배틀로얄 차이나-중국의 군벌이 되었다",1496359,지구작가,100,1,60%,60,2026.01.06
"미식을 파는 상인",1504469,[티치],100,71,60%,4260,2026.01.06
"[BL] 트웨니 포 세븐(Twenty-four Seven)",1529919,[혜율],100,3,60%,180,2026.01.06
"[연재] 하드캐리 서포터",1536959,[라포르테],100,43,60%,2580,2026.01.06
"[연재] 강탈의 군주",1557051,[[흰백작]],100,25,60%,1500,2026.01.06
"[연재] 타락 찬미",1594173,[[[하얀백지]]],100,5,60%,300,2026.01.06
"가수는 아무나 하나?",1652380,꿈속의나.,100,16,60%,960,2026.01.06
"재벌 매니저는 조용히 살고 싶다",1655493,단팥빵소년.,100,15,60%,900,2026.01.06
"재벌 사위 말고 재벌 하겠습니다",1656162,해달벗.,100,201,60%,12060,2026.01.06
"프랑스 해군제독이 되었다",1662383,알자스.,100,177,60%,10620,2026.01.06
"삼국지: 조조의 장남이 되었다",1684311,[검은방],100,3,60%,180,2026.01.06
"미국 로또로 역대급 재벌! ",1693058,[강바기],100,61,60%,3660,2026.01.06
"멸망한 세계의 시간 능력자",1694304,[[월천]],100,176,60%,10560,2026.01.06
"구원하려다 같이 데뷔함",1720446,윤선후.,100,2,60%,120,2026.01.06
"방구석 천재작가",1723318,[노란안경],100,47,60%,2820,2026.01.06
"신이 내린 투자 천재",1735089,해달벗.,100,1,60%,60,2026.01.06
"갖기 위해선 무엇이든",1735981,[빵곰탕],100,63,60%,3780,2026.01.06
"삼국지 싸이코패스의 딸이 되어버렸다",1735982,[매운아몬드],100,53,60%,3180,2026.01.06
"고아가 돈을 너무 잘 범",1736959,걸다백,100,1,60%,60,2026.01.06
"삼국지 : 유비의 책사, 천하를 삼키다.",1743050,월천랑,100,254,60%,15240,2026.01.06
"천재 번역가, 출판재벌 되다",1750730,[디트리히21],100,235,60%,14100,2026.01.06
"아포칼립스의 좀비 사용법",1752368,냠빈.,100,1,60%,60,2026.01.06
"이혼의 목적",1752900,[이봄아].,100,1,60%,60,2026.01.06
"천재 투수가 170km를 숨김",1755586,단팥빵소년.,100,98,60%,5880,2026.01.06
미제,1762554,[밤라다],100,19,60%,1140,2026.01.06
"인생 2회차 철종의 슬기로운 정복생활",1763764,[MOOHA],100,26,60%,1560,2026.01.06
"막내 아들이 국가급 군사력을 물려받음",1770714,라메카,100,125,60%,7500,2026.01.06
"검은머리 천재 재벌",1782038,번파,100,1,60%,60,2026.01.06
"메디시스가의 오메가",1787968,코네꼬.,100,708,60%,42480,2026.01.06
"내 사전에 군납비리란 없다",1791786,사키만자루,100,1,60%,60,2026.01.06
"충무공의 아들이 되었다",1793207,[보헤미아],100,11,60%,660,2026.01.06
"칼레이 백작가의 매맞이 하녀",1799349,[뮤사203],100,81,60%,4860,2026.01.06
비원정전,1799516,지인.,100,1,60%,60,2026.01.06
"천조국 건스미스가 되었다",1803804,서평.,100,62,60%,3720,2026.01.06
"잠자는 공주님",1805205,은비령.,100,31,60%,1860,2026.01.06
"우리 헤어졌어요",1809787,한구름꽃,100,1,60%,60,2026.01.06
"언니의 첫날밤을 훔쳤다",1809970,느린돌.,100,1,60%,60,2026.01.06
"성기사를 삼킨 마녀",1816851,김캐럿.,100,698,60%,41880,2026.01.06
"북부 남작 영애의 식물 백과사전",1819196,우주벚꽃.,100,27,60%,1620,2026.01.06
"그래서 농노는 영주를",1823801,[해설피],100,1,60%,60,2026.01.06
"이 사랑에서 빠지겠습니다",1823811,라솜브라데라루나,100,116,60%,6960,2026.01.06
"마검, 화산 가다",1831154,[[[겨울반디]]],100,1,60%,60,2026.01.06
"기갑전선에서 살아가는 법",1831986,감튀이이이,100,6,60%,360,2026.01.06
"천재 뮤지션이 되었다",1831995,한우라면,100,21,60%,1260,2026.01.06
"신 6.25 전쟁",1832177,[[비류수]],100,275,60%,16500,2026.01.06
"용살자의 클래스가 다른 회귀",1833419,헥토파스칼.해경,100,574,60%,34440,2026.01.06
"천재 공학자는 투자가 너무 쉽다",1834299,toAny,100,1,60%,60,2026.01.06
"스팀펑크 대한",1834300,[빅타이거],100,3,60%,180,2026.01.06
"비자금 사냥꾼",1834301,[파라모르템],100,31,60%,1860,2026.01.06
"수라전설 독룡",1834439,[시니어],100,3,60%,180,2026.01.06
장인전생,1834441,[[양인산]],100,111,60%,6660,2026.01.06
백룡선생,1836713,[시니어],100,14,60%,840,2026.01.06
"재벌에서 광복군까지",1838773,빛나는구름,100,4632,60%,277920,2026.01.06
