공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩(웅진),웹소설,7675,베드 파트너,,이로이,42000,42000,6165.3,35834.7,25077,0,25077
스토린랩(웅진),웹소설,9764,계약 임신,,신은수,18027.319,18027.319,2487.9,13475.76,7985,2024,10009
스토린랩(웅진),웹소설,7677,젖어드는 전남편,,하빕티,15154.197,15154.197,435.9,13341.199,8371,1342,9713
스토린랩(웅진),웹소설,7734,욕심 많은 대공비로 살아 볼까 합니다만 ,,애플97,12700,12700,3810,8890,6223,0,6223
스토린랩(웅진),웹소설,7695,이 구역의 미친 악녀는 나야 ,,사장님,11500,11500,3450,8050,5635,0,5635
스토린랩(웅진),웹소설,7673,달라진 건 없지만,,leda,11300,11300,372.9,10927.1,7647,0,7647
스토린랩(웅진),웹소설,7184,멸문세가 소가주,,지인,9400,9400,310.2,9089.8,6361,0,6361
스토린랩(웅진),웹소설,9027,다시 사랑한다면,,이리스,9200,9200,303.6,8896.4,6222,0,6222
스토린랩(웅진),웹소설,7682,후회해도 ,,짙은,8990.43,8990.43,488.4,6956.81,3787,1516,5303
스토린랩(웅진),웹소설,9772,세러피스트,,leda,8800,8800,290.4,8509.6,5955,0,5955
스토린랩(웅진),웹소설,9766,곱게 미쳐 줄게요,,느린돌,8200,8200,2460,5740,4018,0,4018
스토린랩(웅진),웹소설,9763,결혼 사유,,짙은,7800,7800,2313.3,5486.7,3840,0,3840
스토린랩(웅진),웹소설,7721,그 남자를 주웠다,,하빕티,6700,6700,2010,4690,3283,0,3283
스토린랩(웅진),웹소설,9778,조작된 밤,,진다래,5900,5900,1770,4130,2891,0,2891
스토린랩(웅진),웹소설,7730,나쁜 후배,,이리안,4800,4800,1440,3360,2352,0,2352
스토린랩(웅진),웹소설,7182,"검귀, 매화",,의진,2700,2700,89.1,2610.9,1822,0,1822
스토린랩(웅진),웹소설,7688,뜨겁게 박히다,,느린돌,2700,2700,810,1890,1323,0,1323
스토린랩(웅진),웹소설,7684,차 비서가 탐나면,,이봄아,2600,2600,85.8,2514.2,1754,0,1754
스토린랩(웅진),웹소설,7719,아내에게 미치면 ,,봄그린,2200,2200,660,1540,1078,0,1078
스토린랩(웅진),웹소설,7685,남편과 파트너 사이 ,,느린돌,2100,2100,363,1737,1215,0,1215
스토린랩(웅진),웹소설,7717,못된 오빠,,평온한,2100,2100,630,1470,1029,0,1029
스토린랩(웅진),웹소설,9777,오빠 닮은 아이,,최강토끼,2000,2000,66,1934,1353,0,1353
스토린랩(웅진),웹소설,7686,남편감,,짙은,1300,1300,229.8,1070.2,749,0,749
스토린랩(웅진),웹소설,7718,불복종의 이유,,이로이,1200,1200,39.6,1160.4,812,0,812
스토린랩(웅진),웹소설,9776,임신 사정,,짙은,1000,1000,300,700,490,0,490
스토린랩(웅진),웹소설,7183,천하제일인 환생했다,,우태진,800,800,240,560,392,0,392
스토린랩(웅진),웹소설,9771,다정한 미친놈,,채우솔,300,300,9.9,290.1,202,0,202
스토린랩(웅진),웹소설,7720,이혼은 없어 ,,이로이,200,200,60,140,98,0,98
스토린랩(웅진),웹소설,7728,몰락,,최강토끼,200,200,60,140,98,0,98
