공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩(웅진),웹소설,9769,선물 아내,,"청산, 연서",230300,230300,63563.1,166736.9,116708,0,116708
스토린랩(웅진),웹소설,9027,다시 사랑한다면,,이리스,136600,136600,31902,104698,73278,0,73278
스토린랩(웅진),웹소설,7185,신이 내린 투자 천재,,해달벗,21100,21100,696.3,20403.7,14273,0,14273
스토린랩(웅진),웹소설,9764,계약 임신,,신은수,13358.084,13358.084,3393.3,8985.739,5604,965,6569
스토린랩(웅진),웹소설,7675,베드 파트너,,이로이,12600,12600,3406.2,9193.8,6433,0,6433
스토린랩(웅진),웹소설,7677,젖어드는 전남편,,하빕티,10482.761,10482.761,1742.1,8049.276,5143,676,5819
스토린랩(웅진),웹소설,9768,마지막 로미오,,leda,10300,10300,3090,7210,5047,0,5047
스토린랩(웅진),웹소설,7184,멸문세가 소가주,,지인,9600,9600,2826.6,6773.4,4741,0,4741
스토린랩(웅진),웹소설,7673,달라진 건 없지만,,leda,9100,9100,2730,6370,4459,0,4459
스토린랩(웅진),웹소설,7680,흔적도 없이 ,,짙은,8800,8800,1144.8,7655.2,5357,0,5357
스토린랩(웅진),웹소설,7686,남편감,,짙은,8700,8700,1248.3,7451.7,5216,0,5216
스토린랩(웅진),웹소설,7682,후회해도 ,,짙은,7326.158,7326.158,672,5891.08,3587,757,4344
스토린랩(웅진),웹소설,7720,이혼은 없어 ,,이로이,7100,7100,1863,5237,3665,0,3665
스토린랩(웅진),웹소설,7719,아내에게 미치면 ,,봄그린,6600,6600,1980,4620,3234,0,3234
스토린랩(웅진),웹소설,7727,아내 역할,,이리안,6500,6500,1896.6,4603.4,3222,0,3222
스토린랩(웅진),웹소설,9763,결혼 사유,,짙은,3900,3900,128.7,3771.3,2638,0,2638
스토린랩(웅진),웹소설,9771,다정한 미친놈,,채우솔,3600,3600,172.2,3427.8,2398,0,2398
스토린랩(웅진),웹소설,7684,차 비서가 탐나면,,이봄아,2400,2400,79.2,2320.8,1623,0,1623
스토린랩(웅진),웹소설,7691,저주받은 공작가의 안주인이 되어 버렸다,,김솜솜,1700,1700,510,1190,833,0,833
스토린랩(웅진),웹소설,7688,뜨겁게 박히다,,느린돌,1500,1500,450,1050,735,0,735
스토린랩(웅진),웹소설,7182,"검귀, 매화",,의진,100,100,3.3,96.7,67,0,67
