공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩,웹소설,11782,중산(重山),매드햇,필환,631400,631400,140665.8,490734.2,343487,0,343487
스토린랩,웹소설,11913,오빠가 해줄게,하트퀸,진숙,404200,404200,106254.6,297945.4,208552,0,208552
스토린랩,웹소설,11971,"넌 항상 날, 쉽게 버려",사막여우,민시윤,244000,244000,60544.2,183455.8,128413,0,128413
스토린랩,웹소설,11899,백룡선생,드림북스,시니어,222000,222000,48577.5,173422.5,121385,0,121385
스토린랩,웹소설,11925,낯선 재회,사막여우,한윤채,192000,192000,44944.2,147055.8,102930,0,102930
스토린랩,웹소설,11979,도피 결혼,사막여우,김윤,188400,188400,45893.4,142506.6,99747,0,99747
스토린랩,웹소설,7838,나쁜 하룻밤,하트퀸,셔틀,154400,154400,42555.3,111844.7,78286,0,78286
스토린랩,웹소설,11938,찬란한 이혼,사막여우,알렛(소나무다),112700,112700,29911.8,82788.2,57944,0,57944
스토린랩,웹소설,11920,뜨겁게 리셋,하트퀸,이승희,102900,102900,25797,77103,53964,0,53964
스토린랩,웹소설,11937,"재벌가, 비밀의 시간",사막여우,블랑드,102700,102700,30222.6,72477.4,50731,0,50731
스토린랩,웹소설,11780,요절할 대공자는 오래 살고싶다,매드햇,겨울반디,89400,89400,11253.9,78146.1,54690,0,54690
스토린랩,웹소설,11927,무능한 장남이 이혼 후 효도함,ARC,만슬라,88000,88000,22047.9,65952.1,46161,0,46161
스토린랩,웹소설,11914,망나니 검사가 달라졌다,매드햇,안현,75000,75000,13689,61311,42912,0,42912
스토린랩,웹소설,10059,증권 재벌의 천재 손자가 되었다,매드햇,번파,72000,72000,12708.9,59291.1,41489,0,41489
스토린랩,웹소설,11020,사천당가 삼공자의 목표는 자연사,ARC,지인,66900,66900,12113.4,54786.6,38340,0,38340
스토린랩,웹소설,11983,둘만 아는 결혼,사막여우,곰씨와 함께,62100,62100,16787.7,45312.3,31715,0,31715
스토린랩,웹소설,11768,짜릿한 회귀로 역대급 재벌!,매드햇,강바기,59900,59900,12389.7,47510.3,33254,0,33254
스토린랩,웹소설,11781,검왕조,매드햇,무죄(无罪),52500,52500,14975.7,37524.3,26261,0,26261
스토린랩,웹소설,7660,검은머리 천재 재벌,매드햇,번파,52400,52400,15720,36680,25676,0,25676
스토린랩,웹소설,11085,푸른 달은 두 번 떠오른다,ARC,의진,48800,48800,11302.5,37497.5,26246,0,26246
스토린랩,웹소설,11900,무당광마,드림북스,자망,47200,47200,11089.5,36110.5,25273,0,25273
스토린랩,웹소설,11770,이세계 천재 공무원이 되었다,매드햇,지원,47100,47100,13355.7,33744.3,23619,0,23619
스토린랩,웹소설,11921,무브먼트,하트퀸,모카혜진,36600,36600,10926.6,25673.4,17970,0,17970
스토린랩,웹소설,11767,사천사,매드햇,설봉,34100,34100,4462.8,29637.2,20742,0,20742
스토린랩,웹소설,11911,천재 엑스트라가 대사를 외우는 방법,매드햇,강해일,29500,29500,8823.3,20676.7,14473,0,14473
스토린랩,웹소설,11070,"당신에게 나는 과분해요, 여보",사막여우,애플97,27700,27700,4598.7,23101.3,16170,0,16170
스토린랩,웹소설,11041,아포칼립스의 좀비 사용법,ARC,냠빈,27200,27200,4528.8,22671.2,15868,0,15868
스토린랩,웹소설,11902,여배우에게 합의금을 받았다,매드햇,사키만자루,22200,22200,6339.6,15860.4,11102,0,11102
스토린랩,웹소설,7835,침대 위의 대표님,하트퀸,왕기대,19380.268,19380.268,5149.8,13390.33,8785,826,9611
스토린랩,웹소설,11033,역전사제,ARC,은인,17400,17400,5220,12180,8526,0,8526
스토린랩,웹소설,11024,낯가리는 천마의 찐친이 되었다,ARC,지인,15700,15700,4710,10990,7693,0,7693
스토린랩,웹소설,10670,신 6.25 전쟁,매드햇,비류수,14900,14900,4470,10430,7301,0,7301
스토린랩,웹소설,11006,수치스러운 밤,사막여우,최고진,14900,14900,4470,10430,7301,0,7301
스토린랩,웹소설,11029,아기천마 수신호위,ARC,지인,14000,14000,4173.3,9826.7,6878,0,6878
스토린랩,웹소설,11893,재능 베끼는 천재가수가 되었다,드림북스,박서희,13300,13300,3990,9310,6517,0,6517
스토린랩,웹소설,11061,운명계시록,사막여우,강희자매,12800,12800,3840,8960,6272,0,6272
스토린랩,웹소설,11110,회귀한 영주는 쉬고 싶다,ARC,삼또,12500,12500,3750,8750,6125,0,6125
스토린랩,웹소설,9733,불순한 탐닉,하트퀸,셔틀,11690.213,11690.213,2559.3,8485.804,5487,634,6121
스토린랩,웹소설,11069,눈 먼 공녀로 환생했다,사막여우,위글블리,10600,10600,3180,7420,5194,0,5194
스토린랩,웹소설,11062,부당한 결혼 계약,사막여우,백열음,9400,9400,2766.6,6633.4,4642,0,4642
스토린랩,웹소설,11030,다시 사는 하오문도,ARC,지인,8900,8900,293.7,8606.3,6021,0,6021
스토린랩,웹소설,10065,미국 로또로 역대급 재벌!,매드햇,강바기,8200,8200,270.6,7929.4,5546,0,5546
스토린랩,웹소설,11076,비원정전,ARC,지인,7200,7200,2133.3,5066.7,3546,0,3546
스토린랩,웹소설,10647,내 비서의 주인,하트퀸,김민,6100,6100,1830,4270,2989,0,2989
스토린랩,웹소설,11079,천하제일 상단주,ARC,지인,5900,5900,1102.5,4797.5,3357,0,3357
스토린랩,웹소설,11985,비서님 모시기,사막여우,허이령,5700,5700,1576.5,4123.5,2885,0,2885
스토린랩,웹소설,7823,짐승의 심연,하트퀸,비향,4261.65,4261.65,960,2770.824,1568,522,2090
스토린랩,웹소설,11785,천애비검,매드햇,설봉,3900,3900,1170,2730,1911,0,1911
스토린랩,웹소설,11059,악마 공작저에는 성녀가 살고 있다,사막여우,온우연,3700,3700,1110,2590,1813,0,1813
스토린랩,웹소설,10654,량세환(两世欢),시계토끼,적월교교 (寂月皎皎),3400,3400,1020,2380,1666,0,1666
