판매일,작품 ID,분류,작품명,작가명,레이블,회차 판매가 (원),총 사용 건수 (건),초기 무료 회차,에다무,광고보면 무료,신규 혜택 대여,유상 대여,소장,총 판매 건수 (건),광고보면 무료 판매금액 (원),광고보면 무료 운영 수수료 (원),소장 판매금액 (원),소장 운영 수수료 (원),대여 판매금액 (원),대여 운영 수수료 (원),판매 금액 합계 (원),운영 수수료 합계 (원),정산 금액 합계 (원)
2026-03-04,2655,웹소설,욕망의 노예계약,황금병아리,하트퀸,100,30,0,0,0,0,0,30,30,0,0,3000,900,0,0,3000,900,2100
2026-03-04,3077,웹소설,은밀한 과외시간,김유일,하트퀸,3500,1,0,0,0,0,0,1,1,0,0,3500,1050,0,0,3500,1050,2450
2026-03-04,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04,3184,웹소설,몰락,최강토끼,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04,3191,웹소설,당신이 나를 잊은 줄 알았다,꽃니랑,사막여우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-04,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-05,1397,웹소설,7일의 사정,Yulia,래이니북스,100,3,0,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026-03-05,1419,웹소설,끝정,벚꽃그리고,플로린,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,7,5,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-05,2639,웹소설,삼시색기,달그림 ,하트퀸,100,32,3,0,0,0,0,29,29,0,0,2900,870,0,0,2900,870,2030
2026-03-05,2643,웹소설,에피소드,유이세스,하트퀸,100,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05,2655,웹소설,욕망의 노예계약,황금병아리,하트퀸,100,33,0,0,0,0,0,33,33,0,0,3300,990,0,0,3300,990,2310
2026-03-05,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05,3191,웹소설,당신이 나를 잊은 줄 알았다,꽃니랑,사막여우,100,3,0,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026-03-05,3554,웹소설,후회해도,짙은,사막여우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-05,4801,웹소설,모노크롬 루머,치율,M블루,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
