작품명,작품코드,작가명,단가,판매건수,비율,정산금액,정산일
"미치도록 너를",1155526,[황이라],100,7,60%,420,2026.04.06
"[BL] 사로잡힌 후궁 - 후궁시리즈 2부",1329728,[엘라온],100,27,60%,1620,2026.04.06
야차,1392978,[[[마뇽]]],200,1,60%,120,2026.04.06
세이렌,1404932,강윤결,100,1,60%,60,2026.04.06
"마이 도미넌트",1415812,쑈체,100,23,60%,1380,2026.04.06
"문과라도 안 죄송한 이세계로 감",1424034,정수읠,100,22,60%,1320,2026.04.06
"내일은 일인자",1439164,사키만자루,100,1,60%,60,2026.04.06
"사제님의 비밀스런 교육(Dark)",1484295,[김연서],100,48,60%,2880,2026.04.06
"[연재] 하드캐리 서포터",1536959,[라포르테],100,3,60%,180,2026.04.06
"[연재] 짜릿한 회귀로 역대급 재벌!",1544950,[강바기],100,80,60%,4800,2026.04.06
"[연재] 타락 찬미",1594173,[[[하얀백지]]],100,1,60%,60,2026.04.06
"로또 맞고 야구단을 샀다",1650507,잠룡.,100,26,60%,1560,2026.04.06
"가수는 아무나 하나?",1652380,꿈속의나.,100,1,60%,60,2026.04.06
"천하제일인 환생했다",1654589,우태진.,100,5,60%,300,2026.04.06
"재벌 사위 말고 재벌 하겠습니다",1656162,해달벗.,100,133,60%,7980,2026.04.06
"만능돌로 살아가는 법",1656808,강교문.,100,83,60%,4980,2026.04.06
"프랑스 해군제독이 되었다",1662383,알자스.,100,68,60%,4080,2026.04.06
"내 눈에만 아공간이 보여",1683816,[지누아빠],100,27,60%,1620,2026.04.06
"미국 로또로 역대급 재벌! ",1693058,[강바기],100,2,60%,120,2026.04.06
"신 발해, 세상 평정기",1693060,[[비류수]],100,27,60%,1620,2026.04.06
"전직 용사가 퇴마를 너무 잘함",1694307,E787,100,158,60%,9480,2026.04.06
"선물 아내",1710116,청산연서,100,8,60%,480,2026.04.06
"조선이 무역으로 강해짐",1714085,홍삼절편.,100,20,60%,1200,2026.04.06
"크고 잘생긴 오빠 친구",1717600,[[채하정]],100,29,60%,1740,2026.04.06
"구원하려다 같이 데뷔함",1720446,윤선후.,100,123,60%,7380,2026.04.06
"신이 내린 투자 천재",1735089,해달벗.,100,21,60%,1260,2026.04.06
"삼국지 싸이코패스의 딸이 되어버렸다",1735982,[매운아몬드],100,61,60%,3660,2026.04.06
"낯가리는 천마의 찐친이 되었다",1750121,지인.,100,1,60%,60,2026.04.06
"아포칼립스의 좀비 사용법",1752368,냠빈.,100,38,60%,2280,2026.04.06
"천재 투수가 170km를 숨김",1755586,단팥빵소년.,100,580,60%,34800,2026.04.06
신참례,1757348,[[[마뇽]]],100,10,60%,600,2026.04.06
"박정의의 조카가 되었다",1761401,사키만자루,100,329,60%,19740,2026.04.06
"연금술로 세계 정복",1765103,[[안현]],100,11,60%,660,2026.04.06
"메디시스가의 오메가",1787968,코네꼬.,100,106,60%,6360,2026.04.06
"칼레이 백작가의 매맞이 하녀",1799349,[뮤사203],100,10,60%,600,2026.04.06
"어차피 사랑",1800508,[[[[모리미]]]],100,1,60%,60,2026.04.06
"재벌집 3세가 전생을 각성함",1807642,과연그럴까.,100,11,60%,660,2026.04.06
"원수를 사랑하는 법",1808436,은라온.,100,17,60%,1020,2026.04.06
"황태자의 시녀가 차를 너무 잘 끓여",1809965,돕키,100,1,60%,60,2026.04.06
"청년 리마르",1812202,[월계수],100,1,60%,60,2026.04.06
"빚더미 세자",1813260,[[[마뇽]]],100,30,60%,1800,2026.04.06
"진락동 파라다이스",1814841,채호정,100,1,60%,60,2026.04.06
"남자인데도 내가 좋다고?",1814845,[베르시],100,19,60%,1140,2026.04.06
"성기사를 삼킨 마녀",1816851,김캐럿.,100,31,60%,1860,2026.04.06
아저씨,1819643,[[[강태형]]],100,62,60%,3720,2026.04.06
"천재 뮤지션이 되었다",1831995,한우라면,100,174,60%,10440,2026.04.06
"신 6.25 전쟁",1832177,[[비류수]],100,1,60%,60,2026.04.06
"용살자의 클래스가 다른 회귀",1833419,헥토파스칼.해경,100,251,60%,15060,2026.04.06
"축구천재는 명장이 됩니다",1834302,[[[주노드]]],100,84,60%,5040,2026.04.06
"무한의 강화사",1834433,[[오렌]],100,171,60%,10260,2026.04.06
"서문세가 천재 망나니",1835392,늦출,100,1,60%,60,2026.04.06
북해무신,1835396,[정천],100,102,60%,6120,2026.04.06
백룡선생,1836713,[시니어],100,36,60%,2160,2026.04.06
"재벌에서 광복군까지",1838773,빛나는구름,100,1700,60%,102000,2026.04.06
"섬에서 탈출하려다 사기 계약 당했다",1858232,휘민.,100,4,60%,240,2026.04.06
"기간트 명가의 역대급 막내로 환생했다",1858234,글동냥,100,2975,60%,178500,2026.04.06
"화경동 제비꽃 맨숀",1858235,채호정,100,114,60%,6840,2026.04.06
"란테는 뒤돌아보지 않는다",1858238,변강허이,100,130,60%,7800,2026.04.06
"미친놈의 집착에서 벗어나는 법",1858241,글쓰는아프로디테.,100,412,60%,24720,2026.04.06
"임신 강요",1858246,오유영,100,188,60%,11280,2026.04.06
"금단 위에 순정",1858911,로체니콥.,100,2101,60%,126060,2026.04.06
공녀님은 너무 사랑받아서 곤란합니다,1858913,채주아.,100,266,60%,15960,2026.04.06
난장,1858917,햇감자.,100,19,60%,1140,2026.04.06
