공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩(웅진),웹소설,7678,쉴 틈 없이 사랑해주세요,,하루가 너무 길다,226700,226700,58510.96,168189.04,117724,0,117724
스토린랩(웅진),웹소설,7682,후회해도 ,,짙은,197000,197000,48454.9,148545.1,103971,0,103971
스토린랩(웅진),웹소설,7674,THE 런웨이,,Hirachell,163200,163200,34755.6,128444.4,89905,0,89905
스토린랩(웅진),웹소설,7694,죽이는 황후,,사라유,17000,17000,5100,11900,8330,0,8330
스토린랩(웅진),웹소설,7717,못된 오빠,,평온한,16400,16400,4920,11480,8036,0,8036
스토린랩(웅진),웹소설,7187,재벌 매니저는 조용히 살고 싶다,,단팥빵소년,15700,15700,4710,10990,7693,0,7693
스토린랩(웅진),웹소설,7686,남편감,,짙은,8200,8200,297.3,7902.7,5531,0,5531
스토린랩(웅진),웹소설,7685,남편과 파트너 사이 ,,느린돌,7200,7200,2160,5040,3528,0,3528
스토린랩(웅진),웹소설,7722,우아한 개자식,,봄그린,7100,7100,2130,4970,3479,0,3479
스토린랩(웅진),웹소설,7728,몰락,,최강토끼,7100,7100,234.3,6865.7,4805,0,4805
스토린랩(웅진),웹소설,7683,온전하지 못한 관계,,하루가 너무 길다,6500,6500,321.3,6178.7,4323,0,4323
스토린랩(웅진),웹소설,7727,아내 역할,,이리안,6000,6000,1613.1,4386.9,3070,0,3070
스토린랩(웅진),웹소설,9762,걸려들다,,타흔,5200,5200,1560,3640,2548,0,2548
스토린랩(웅진),웹소설,7183,천하제일인 환생했다,,우태진,4900,4900,161.7,4738.3,3315,0,3315
스토린랩(웅진),웹소설,7184,멸문세가 소가주,,지인,4700,4700,181.8,4518.2,3158,0,3158
스토린랩(웅진),웹소설,7696,미치도록 찬란하게 ,,아일리파로,4700,4700,155.1,4544.9,3178,0,3178
스토린랩(웅진),웹소설,9766,곱게 미쳐 줄게요,,느린돌,4400,4400,1320,3080,2156,0,2156
스토린랩(웅진),웹소설,7720,이혼은 없어 ,,이로이,3300,3300,135.6,3164.4,2214,0,2214
스토린랩(웅진),웹소설,7687,스며들기 전에,,하루가 너무 길다,3100,3100,930,2170,1519,0,1519
스토린랩(웅진),웹소설,7186,재벌 사위 말고 재벌 하겠습니다,,해달벗,2800,2800,840,1960,1372,0,1372
스토린랩(웅진),웹소설,9774,어차피 사랑,,모리미,2500,2500,750,1750,1225,0,1225
스토린랩(웅진),웹소설,7730,나쁜 후배,,이리안,1700,1700,56.1,1643.9,1150,0,1150
스토린랩(웅진),웹소설,7690,폭군의 보호자는 악역 마녀입니다,,블루라군,1500,1500,450,1050,735,0,735
스토린랩(웅진),웹소설,9776,임신 사정,,짙은,1300,1300,363.3,936.7,655,0,655
스토린랩(웅진),웹소설,7688,뜨겁게 박히다,,느린돌,1000,1000,33,967,676,0,676
스토린랩(웅진),웹소설,9773,양반집,,결달,1000,1000,300,700,490,0,490
스토린랩(웅진),웹소설,9777,오빠 닮은 아이,,최강토끼,1000,1000,300,700,490,0,490
스토린랩(웅진),웹소설,7675,베드 파트너,,이로이,900,900,270,630,441,0,441
스토린랩(웅진),웹소설,9765,고결한 동맹,,소낙연(笑樂緣),800,800,26.4,773.6,541,0,541
스토린랩(웅진),웹소설,9771,다정한 미친놈,,채우솔,600,600,180,420,294,0,294
스토린랩(웅진),웹소설,9778,조작된 밤,,진다래,600,600,19.8,580.2,406,0,406
스토린랩(웅진),웹소설,7679,"나의 수상한 상사, 설 팀장",,Hirachell,300,300,9.9,290.1,203,0,203
스토린랩(웅진),웹소설,7680,흔적도 없이 ,,짙은,200,200,60,140,98,0,98
스토린랩(웅진),웹소설,7191,욕망을 보는 투자 천재,,김오리,100,100,30,70,49,0,49
