출판사명,레이블명,분야,출처,비고
도서출판 그레이스,도서출판그레이스,,본부장확인(0721),
도서출판 레토,델로스,,본부장확인(0721),
도서출판 레토,레토북스,,본부장확인(0721),
도서출판 레토,아르테미스,,본부장확인(0721),
도서출판 레토,아폴론,,본부장확인(0721),
도서출판 리채,레드로즈,,본부장확인(0721),
도서출판 선,도서출판 선,장르소설,기존(0615),
도서출판 윤송,9.79117E+12,,본부장확인(0721),
도서출판 윤송,도서출판윤송,,본부장확인(0721),
도서출판 윤송,빈백바스켓,,본부장확인(0721),
도서출판 윤송,파인컬렉션,,본부장확인(0721),
도서출판 정연,요미북스,,본부장확인(0721),
도서출판 정연,코튼북스,,본부장확인(0721),
도서출판 하마,도서출판 하마,일반단행본,기존(0615),
도서출판 해울,도서출판 해울,,본부장확인(0721),
도서출판가하,가하 누벨,장르소설,기존(0615),
도서출판가하,가하 디엘,장르소설,기존(0615),
도서출판가하,가하 비엘,장르소설,기존(0615),
도서출판가하,가하 에픽,장르소설,기존(0615),
도서출판가하,가하 플러스,장르소설,기존(0615),
도서출판가하,도서출판 가하,장르소설,기존(0615),
도서출판공감,도서출판 공감,장르소설,기존(0615),
도서출판동아,동아,장르소설,기존(0615),
도서출판동아,로담,장르소설,기존(0615),
도서출판동아,문릿노블,장르소설,기존(0615),
도서출판동아,슈가 노블,장르소설,기존(0615),
도서출판동아,슈가노블,장르소설,기존(0615),
도서출판동아,시크노블,장르소설,기존(0615),
도서출판동아,인피니티,장르소설,기존(0615),
도서출판동아,제로노블,장르소설,기존(0615),
도서출판동아,제로노블112,장르소설,기존(0615),
도서출판동아,제로노블118,장르소설,기존(0615),
도서출판동아,제로노블119,장르소설,기존(0615),
도서출판동아,제로노블120,장르소설,기존(0615),
도서출판동아,제로노블121,장르소설,기존(0615),
도서출판동아,제로노블122,장르소설,기존(0615),
도서출판동아,제로노블124,장르소설,기존(0615),
도서출판동아,제로노블126,장르소설,기존(0615),
도서출판동아,제로노블127,장르소설,기존(0615),
도서출판동아,제로노블128,장르소설,기존(0615),
도서출판동아,제로노블141,장르소설,기존(0615),
도서출판동아,제로노블142,장르소설,기존(0615),
도서출판동아,크림 노블,장르소설,기존(0615),
도서출판동아,크림노블,장르소설,기존(0615),
도서출판별솔,도서출판 별솔,장르소설,기존(0615),
도서출판별솔,별다름,장르소설,기존(0615),
도서출판수려한,수려한,장르소설,기존(0615),
도서출판윤송,도서출판 윤송,장르소설,기존(0615),
도서출판윤송,윤송벨리,장르소설,기존(0615),
도서출판윤송,윤송블린,장르소설,기존(0615),
도서출판윤송,윤송스피넬,장르소설,기존(0615),
도서출판청어람,MUSE,장르소설,기존(0615),
도서출판청어람,녹턴,장르소설,기존(0615),
도서출판청어람,이젠북,장르소설,기존(0615),
도서출판청어람,청어람 M&B,일반단행본,기존(0615),
디앤씨미디어,디앤씨북스,,본부장확인(0721),
디앤씨미디어,시드노벨,장르소설,기존(0615),
디앤씨미디어,잇북(It Book),,본부장확인(0721),
디앤씨미디어,톤(TONE),,본부장확인(0721),
디앤씨미디어,파피루스,장르소설,기존(0615),
딜라이트북스,딜라이트북스,장르소설,기존(0615),
딜라이트북스,문라이트북스,장르소설,기존(0615),
라미북스,라미북스,장르소설,기존(0615),
라인북스,라인북스,장르소설,기존(0615),
래이니북스,래이니북스,,본부장확인(0721),
랩콘스튜디오,답인(答人),,본부장확인(0721),
러프미디어,디아망,장르소설,기존(0615),
러프미디어,러프미디어,장르소설,기존(0615),
러프미디어,제이케이미디어,장르소설,기존(0615),
러프미디어,클라르테,,본부장확인(0721),
레드필로우,레드필로우,,본부장확인(0721),
레드필로우,레드필로우 레드필로우,,본부장확인(0721),
로망띠끄,BLme,,본부장확인(0721),
로망띠끄,노크(Knock),,본부장확인(0721),
로망띠끄,노크(knock),,본부장확인(0721),
로망띠끄,더브루니,,본부장확인(0721),
로망띠끄,로망띠끄,일반단행본,기존(0615),
로망띠끄,로망로즈,,본부장확인(0721),
로망띠끄,리얼라엘,,본부장확인(0721),
로망띠끄,블랙마켓,,본부장확인(0721),
로망띠끄,수스토리,,본부장확인(0721),
로망띠끄,시크하라,,본부장확인(0721),
로망띠끄,원샷(OneShot),,본부장확인(0721),
로망띠끄,후후,,본부장확인(0721),
루나문,루나문,,본부장확인(0721),
리그미디어,리그미디어,,본부장확인(0721),
리더북스,리더북스,일반단행본,기존(0615),
리엔터,히어로블,,본부장확인(0721),
리체북스앤미디어,N.fic,,본부장확인(0721),
리체북스앤미디어,리체북스앤미디어,,본부장확인(0721),
리케,리케,장르소설,기존(0615),
마야마루,M블루,장르소설,기존(0615),
마야마루,동행,장르소설,기존(0615),
마야마루,마롱,장르소설,기존(0615),
마야마루,마루&마야,,본부장확인(0721),
마야마루,마르스,장르소설,기존(0615),
마야마루,마야&마루,만화,기존(0615),
마야마루,마야마루,장르소설,기존(0615),
마야마루,말레피카,장르소설,기존(0615),
마야마루,페리윙클,장르소설,기존(0615),
마야마루,페리윙클+,장르소설,기존(0615),
마인드큐브,마인드큐브,일반단행본,기존(0615),
메르헨미디어,나비레드,장르소설,기존(0615),
메르헨미디어,블루로즈,장르소설,기존(0615),
문샷,문샷,장르소설,기존(0615),
미담컴퍼니,루어,,본부장확인(0721),
미툰앤노벨,MeGa,,본부장확인(0721),
미툰앤노벨,mega,,본부장확인(0721),
미툰앤노벨,미어덜트,,본부장확인(0721),
바로나글,딥블루클립,,본부장확인(0721),
바로나글,레드클립,,본부장확인(0721),
바로나글,퍼플클립,,본부장확인(0721),
베아트리체,데미안 클럽,장르소설,기존(0615),
베아트리체,베아트리체,장르소설,기존(0615),
보라북스,보라북스,,본부장확인(0721),
보리출판사,보리출판사,일반단행본,기존(0615),
봄미디어,MANZ',장르소설,기존(0615),
봄미디어,레이드,,본부장확인(0721),
봄미디어,레이시노블,장르소설,기존(0615),
봄미디어,봄 미디어,장르소설,기존(0615),
봄미디어,봄미디어,,본부장확인(0721),
봄미디어,크라운 노블,장르소설,기존(0615),
봄의정원,달빛정원,장르소설,기존(0615),
봄의정원,봄의정원,일반단행본,기존(0615),
북스트림,더클북컴퍼니,장르소설,기존(0615),
북큐브,R,장르소설,기존(0615),
북큐브,로맨스토리,장르소설,기존(0615),
북큐브,북큐브,장르소설,기존(0615),
북큐브,비하인드,장르소설,기존(0615),
북큐브,은설,장르소설,기존(0615),
북큐브,판무스토리,장르소설,기존(0615),
북큐브,환상북스,장르소설,기존(0615),
뷰컴즈,뷰컴즈,장르소설,기존(0615),
블루마운틴소프트,에피루스,장르소설,기존(0615),
비룡소,고릴라박스,만화,기존(0615),
비엔비컴퍼니,비엔비컴퍼니,장르소설,기존(0615),
비즈앤노블,비즈앤노블,장르소설,기존(0615),
빅토리북스,길티플레저,장르소설,기존(0615),
빅토리북스,빅토리북스,장르소설,기존(0615),
