label_resolved,settle,works,plats
벨숲(스토리숲),28014.0,4,1
은밀한 사정*세트구매*,26395.0,1,1
달리아(스토리숲),26215.0,3,1
네 앞에 무릎 꿇고 빌고 싶었다*세트구매*,26012.0,1,1
옆집 아저씨의 이중생활 (삽화본),25900.0,2,1
더티 웨딩 1,25550.0,2,1
비서 감금 (삽화본),25250.0,2,1
청어람출판사,25200.0,19,2
사슴의풀밭,24710.0,6,2
캔미디어,24626.0,2,5
YAMANCE,24220.0,3,1
허튼수작 2(완결),24120.0,2,1
빼앗긴 아이*세트구매*,23868.0,1,1
하트비트*세트구매*,22950.0,1,1
인첸티드,22743.0,5,2
"결혼 후, 다른 남자와*세트구매*",22185.0,1,1
허튼수작*세트구매*,22032.0,1,1
영북스,21973.0,5,5
뒹굴,21910.7,2,4
서툰 거짓말 1,21875.0,2,1
감각 오류*세트구매*,21804.0,1,1
누디나잇 플러스,21147.0,3,2
몸주,21090.0,2,1
오만한 상사 1,21000.0,2,1
잉첩*세트구매*,20655.0,1,1
극점*세트구매*,20196.0,1,1
루나문,20062.0,5,4
글로라이터,19372.64,1,2
LACE,19355.77,12,6
오만한 상사 2(완결),18625.0,2,1
은밀한상상,18598.86,4,1
첫 마음 3(완결),18480.0,2,1
그 비서의 남다른 취향 1,18400.0,2,1
스노우미디어,18361.0,3,3
잉첩 2(완결),18000.0,1,1
"결혼 후, 다른 남자와 3(완결)",17980.0,2,1
빼앗긴 아이 1,17940.0,1,1
빼앗긴 아이 3(완결),17940.0,1,1
콕테일,17778.6,13,2
쉬운 비서 2(완결),17550.0,2,1
임신 강요 1,17500.0,1,1
허튼수작 1,17460.0,2,1
쉬운 비서 1,17415.0,2,1
서툰 거짓말*세트구매*,17214.0,1,1
오만한 상사 (에필로그),16800.0,2,1
숨통,16200.0,2,1
셀레나,16170.0,5,2
빛나던,15688.0,3,5
"결혼 후, 다른 남자와 1",15515.0,2,1
제자와 첫날밤,15510.0,2,1
빼앗긴 아이 2,15340.0,1,1
첫 마음 1,15330.0,2,1
이혼 시차 [외전],15330.0,2,1
삼킨 결혼 3(완결),15050.0,2,1
이혼 아내 1,14685.0,2,1
밀크 플레이(삽화본),14625.0,2,1
도서출판 그레이스,14602.0,5,3
그 비서의 남다른 취향 2(완결),14600.0,2,1
소문난 아저씨 1,14400.0,1,1
다하,14287.0,6,2
흑막의 밤,14000.0,1,1
"결혼 후, 다른 남자와 2",12905.0,2,1
네 앞에 무릎 꿇고 빌고 싶었다 (외전),12850.0,2,1
Miyoo,12740.0,36,1
양밥 (삽화본) 외전,12485.0,2,1
리그미디어,12279.0,2,3
그 비서의 남다른 취향*세트구매*,12240.0,1,1
북큐브,12192.6,3,1
서툰 거짓말 3(완결),12125.0,2,1
Tasty,12110.0,6,3
리즈,12040.0,2,1
이혼 아내 2(완결),11880.0,1,1
잉크어스,11760.0,3,2
극점 2(완결),11715.0,2,1
낯선 재회*세트구매*,11628.0,1,1
지배 욕구 1,11480.0,1,1
옆집 남자가 수상하다 (삽화본),11375.0,2,1
첫 마음 2,11130.0,2,1
부도덕한 밀애 [외전],11000.0,2,1
블랙마켓,10885.0,3,2
마지막 로미오 3(완결),10830.0,2,1
원수를 탐하다*세트구매*,10710.0,1,1
마미,10647.0,1,1
새파란상상,10605.0,2,1
쉬운 비서*세트구매*,10558.0,1,1
임신 강요 2(완결),10500.0,1,1
일랑,10360.0,8,2
더브루니,10115.0,5,2
서툰 거짓말 2,10000.0,1,1
딥그린라이트 3(완결),9990.0,2,1
리케,9450.0,1,1
6개월짜리 신부,9450.0,2,1
Mare,9408.0,8,2
침대 위 불청객 1,9375.0,2,1
XXL 사이즈 아저씨,9250.0,2,1
바로크*세트구매*,9180.0,1,1
삼켜지는 밤 (보너스 외전),9150.0,2,1
결혼 예고,9120.0,2,1
하트비트 1,9000.0,1,1
달라진 건 없지만*세트구매*,8951.0,1,1
극점 1,8910.0,1,1
오빠 대신 빚보증,8880.0,2,1
BLme,8736.0,3,2
소문난 아저씨 2(완결),8700.0,1,1
감각 오류 1,8550.0,2,1
감각 오류 3(완결),8550.0,2,1
드림노블,8400.0,1,1
위즈덤커넥트,8355.2,25,4
흐르는 물에 목을 축인다 1,8200.0,1,1
수라왕 2,8160.0,1,1
프리빌리지,8029.0,1,2
잇북(It Book),7875.0,1,1
완벽한 청혼*세트구매*,7803.0,1,1
삼킨 결혼 1,7740.0,1,1
삼킨 결혼 2,7740.0,1,1
늘솔북스,7700.0,3,1
정씨책방,7700.0,2,2
딥그린라이트 2,7695.0,2,1
딥그린라이트 1,7695.0,2,1
삼켜지는 밤 (외전),7595.0,2,1
칠월토끼,7574.780000000001,1,7
나랑 자게 될 거야*세트구매*,7574.0,1,1
엉뚱한앙마,7560.0,1,2
고결한 동맹*세트구매*,7344.0,1,1
더티 클래스 1,7250.0,1,1
침대 위 불청객 2(완결),7250.0,1,1
마지막 로미오 1,7220.0,1,1
검신광룡 3,7200.0,2,1
다인북스,7200.0,7,1
모르는 아내*세트구매*,7115.0,1,1
"해요, 나쁜 짓*세트구매*",7038.0,1,1
원수를 탐하다 1,7000.0,1,1
봄의정원,6960.0,8,1
용제검전 2,6400.0,1,1
플로라,6300.0,1,1
재벌 사위 말고 재벌 하겠습니다 3,6300.0,2,1
검신광룡 2,6300.0,2,1
아무것도 아닌 네가*세트구매*,6120.0,1,1
어린 처제 농락기,6044.0,1,1
하트비트 2(완결),6000.0,1,1
그 누구도 아닌 너에게 1,6000.0,1,1
감각 오류 2,6000.0,1,1
온전하지 못한 관계*세트구매*,5967.0,1,1
버린 남편을 주웠다*세트구매*,5738.0,1,1
만일야화B,5732.999000000001,1,1
귀찮은 주치의에게 스며들 때 1,5600.0,1,1
미국 로또로 역대급 재벌! 2,5550.0,2,1
미국 로또로 역대급 재벌! 3,5550.0,2,1
미국 로또로 역대급 재벌! 4,5550.0,2,1
착한 처제▶몹쓸 짓,5522.0,1,1
쉬운 비서 (외전),5475.0,2,1
화산전생 16,5440.0,1,1
화산전생 17(완결),5440.0,1,1
수라왕 5,5440.0,1,1
수라왕 4,5440.0,1,1
수라왕 3,5440.0,1,1
화산전생 15,5440.0,1,1
용을 삼킨 검 9,5400.0,2,1
독점욕 1,5400.0,1,1
독점욕 2(완결),5400.0,1,1
재벌 사위 말고 재벌 하겠습니다 2,5400.0,2,1
탐닉의 계절*세트구매*,5355.0,1,1
쓰레기의 취향*세트구매*,5355.0,1,1
코핀북스,5320.0,2,1
블랙릴리,5292.0,1,1
교보문고,5264.0,2,1
부서진 결혼*세트구매*,5202.0,1,1
미혹*세트구매*,5126.0,1,1
인생 2회차 철종의 슬기로운 정복생활 4,5100.0,1,1
인생 2회차 철종의 슬기로운 정복생활 5,5100.0,1,1
타오름그믐,5040.0,5,2
완벽한 나의 오메가*세트구매*,5040.0,1,1
내 안의 악마를 위하여 3(완결),5000.0,1,1
내 안의 악마를 위하여 2,5000.0,1,1
내 안의 악마를 위하여 1,5000.0,1,1
상사몽*세트구매*,4973.0,1,1
파란썸,4949.0,1,1
라포레(스토리숲),4900.0,1,1
더티 클래스 2(완결),4750.0,1,1
끊을 수 없는 관계*세트구매*,4590.0,1,1
재벌 매니저는 조용히 살고 싶다 2,4500.0,2,1
용을 삼킨 검 10,4500.0,2,1
잉첩 (외전),4500.0,1,1
검신광룡 4,4500.0,2,1
검신광룡 5,4500.0,2,1
용을 삼킨 검 12,4500.0,2,1
재벌 사위 말고 재벌 하겠습니다 8(완결),4500.0,2,1
도서출판윤송,4333.0,2,2
리얼라엘,4242.0,1,2
어차피 사랑 2,4200.0,1,1
어차피 사랑 1,4200.0,1,1
레테나잇,4200.0,1,2
씨에스케이,4158.0,1,1
