유형,label_resolved,출판사(입력),settle,works,plats,유통사(정산액순),대표원본파일
검토대상,도서출판 해울,도서출판 해울,56695,95,0,밀리의서재·알라딘·원스토리·북큐브·미스터블루 [5곳],밀리의서재 월별_정산내역_콘텐츠별상세_1781685021378.xls
검토대상,디앤씨북스,디앤씨미디어,48083,9,0,애니툰·신영미디어 [2곳],애니툰 26년 2월.xlsx
검토대상,잇북(It Book),디앤씨미디어,7875,1,0,애니툰 [1곳],애니툰 26년 2월.xlsx
검토대상,톤(TONE),디앤씨미디어,39753,5,0,애니툰 [1곳],애니툰 26년 3월.xlsx
단독출판사,라인북스,라인북스,53340,8,0,하이북 [1곳],하이북 4월.xls
검토대상,래이니북스,래이니북스,11571080,240,0,애니툰·신영미디어·로망띠끄(연재)·로망띠끄(단행본)·블라이스 외6곳 [11곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,답인(答人),랩콘스튜디오,442609,13,0,문피아·판무림·밀리의서재 [3곳],2026.04_문피아.xlsx
단독출판사,러프미디어,러프미디어,5668614,27,0,북큐브·미소설·교보문고·블라이스·알라딘 외3곳 [8곳],북큐브 상세매출 2026-3~2026-3.xlsx
검토대상,클라르테,러프미디어,104825,7,0,피우리·로망띠끄(단행본)·애니툰·로망띠끄(연재)·신영미디어 외3곳 [8곳],피우리_정산_202601.xlsx
검토대상,레드필로우,레드필로우,384676,19,0,원스토리·네이버시리즈·로망띠끄(단행본)·애니툰·신영미디어 외4곳 [9곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,레드필로우 레드필로우,레드필로우,0,1,0,미스터블루 [1곳],미스터블루_2026-04-01_2026-04-30.xlsx
검토대상,BLme,로망띠끄,8736,3,0,애니툰·미소설 [2곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,노크(knock),로망띠끄,204820,38,0,애니툰·피우리·미소설 [3곳],애니툰 26년 2월.xlsx
검토대상,노크(Knock),로망띠끄,90363,7,0,피우리·미소설 [2곳],피우리_정산_202603.xlsx
검토대상,더브루니,로망띠끄,10115,5,0,피우리·애니툰 [2곳],피우리_정산_202602.xlsx
단독출판사,로망띠끄,로망띠끄,455091,71,0,애니툰·피우리·미소설·무툰 [4곳],애니툰 26년 2월.xlsx
검토대상,로망로즈,로망띠끄,2473177,154,0,애니툰·피우리·미소설·예스24 [4곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,리얼라엘,로망띠끄,4242,1,0,애니툰·피우리 [2곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,블랙마켓,로망띠끄,10885,3,0,피우리·애니툰 [2곳],피우리_정산_202601.xlsx
검토대상,수스토리,로망띠끄,23520,6,0,피우리·애니툰 [2곳],피우리_정산_202602.xlsx
검토대상,시크하라,로망띠끄,69202,12,0,애니툰·피우리 [2곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,원샷(OneShot),로망띠끄,99862,19,0,피우리·애니툰·미소설 [3곳],피우리_정산_202601.xlsx
검토대상,후후,로망띠끄,2800,1,0,피우리 [1곳],피우리_정산_202604.xlsx
검토대상,루나문,루나문,20062,5,0,미소설·올툰·애니툰·미노벨 [4곳],미소설 1월.xls
검토대상,리그미디어,리그미디어,12279,2,0,카카오페이지·원스토리·미스터블루 [3곳],카카오페이지 일반계약_2026-02_주식회사 스토린랩_CP월정산내역.xlsx
단독출판사,리더북스,리더북스,690113,52,0,알라딘·교보문고·밀리의서재·예스24·리디 외2곳 [7곳],밀리의서재 26년 2월.xls
검토대상,히어로블,리엔터,646068,13,0,원스토리·하이북·구루컴퍼니·미소설·북큐브 외5곳 [10곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,N.fic,리체북스앤미디어,114416,5,0,카카오페이지·알라딘·애니툰·리디·피우리 외7곳 [12곳],카카오페이지 일반계약_2026-01_주식회사 스토린랩_CP월정산내역.xlsx
검토대상,리체북스앤미디어,리체북스앤미디어,2127454,14,0,원스토리·리디·예스24·알라딘·미소설 외11곳 [16곳],원스토어 1월 정산내역_20260617_142054.xlsx
단독출판사,리케,리케,9450,1,0,원스토리 [1곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,마루&마야,마야마루,53305,6,0,원스토리·무툰 [2곳],원스토리 26년 2월.xlsx
단독출판사,마야마루,마야마루,422203,20,0,모픽·미소설·원스토리·하이북·무툰 [5곳],모픽_작품별_정산_202602.xlsx
단독출판사,마인드큐브,마인드큐브,81872,14,0,교보문고·알라딘·밀리의서재·예스24 [4곳],밀리의서재 26년 3월.xls
검토대상,MeGa,미툰앤노벨,2030,6,0,무툰·애니툰·미스터블루 [3곳],무툰 26년 2월.xls
검토대상,mega,미툰앤노벨,1400,1,0,하이북·무툰 [2곳],하이북 26년 2월.xls
검토대상,미어덜트,미툰앤노벨,138040,77,0,무툰·북큐브·애니툰·하이북·예스24 외2곳 [7곳],무툰 26년 2월.xls
검토대상,딥블루클립,바로나글,47950,5,0,원스토리·애니툰·로망띠끄(단행본) [3곳],원스토리 26년 2월.xlsx
검토대상,레드클립,바로나글,284974,39,0,원스토리·신영미디어·로망띠끄(단행본)·애니툰·미소설 [5곳],원스토리 26년 3월.xlsx
검토대상,퍼플클립,바로나글,219751,7,0,애니툰·미소설·로망띠끄(단행본)·원스토리·신영미디어 [5곳],애니툰 26년 2월.xlsx
단독출판사,베아트리체,베아트리체,98349,28,0,원스토리·미소설·피우리·신영미디어·큐툰 외1곳 [6곳],원스토리 26년 2월.xlsx
검토대상,보라북스,보라북스,42154,2,0,원스토리·알라딘·미소설·블라이스·판무림 외4곳 [9곳],원스토어 1월 정산내역_20260617_142054.xlsx
단독출판사,보리출판사,보리출판사,325561,11,0,리디·카카오페이지 [2곳],리디북스 26년 2월.zip
검토대상,레이드,봄미디어,1171497,13,0,무툰·모픽·원스토리·미소설·하이북 외2곳 [7곳],무툰 [정산]스토린랩__작품내역_[2026-01-01_2026-01-31].xls
검토대상,봄미디어,봄미디어,115403,28,0,원스토리·애니툰·블라이스·피우리 [4곳],원스토어 1월 정산내역_20260617_142054.xlsx
단독출판사,봄의정원,봄의정원,6960,8,0,밀리의서재 [1곳],밀리의서재 26년 3월.xls
단독출판사,북큐브,북큐브,12193,3,0,원스토리 [1곳],원스토리 26년 2월.xlsx
단독출판사,비엔비컴퍼니,비엔비컴퍼니,2653,7,0,블라이스·큐툰·미소설·로망띠끄(연재)·미스터블루 [5곳],큐툰 [정산]스토린랩__작품내역_[2026-04-01_2026-04-30].xls
검토대상,B&M,뿔미디어,847566,72,0,원스토리·모픽·애니툰·블라이스·피우리 외3곳 [8곳],원스토리 26년 3월.xlsx
검토대상,b&m,뿔미디어,630,2,0,하이북 [1곳],하이북 26년 3월.xls
검토대상,다향,뿔미디어,1775767,131,0,원스토리·피우리·애니툰·블라이스·미소설 외4곳 [9곳],원스토리 26년 2월.xlsx
단독출판사,뿔미디어,뿔미디어,46862932,344,0,모픽·원스토리·무툰·판무림·하이북 외6곳 [11곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,스칼렛,뿔미디어,1107290,99,0,원스토리·애니툰·블라이스·피우리·미소설 외4곳 [9곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,필,뿔미디어,905878,65,0,원스토리·애니툰·블라이스·피우리·미노벨 외2곳 [7곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,라이즈,사슴의풀밭,102494,11,0,알라딘·북큐브·애니툰·로망띠끄(단행본) [4곳],알라딘 26년 3월.csv
검토대상,로튼로즈,사슴의풀밭,5269442,914,0,알라딘·애니툰·북큐브·미소설·피우리 외4곳 [9곳],알라딘 1월_B2C.csv
검토대상,블로우,사슴의풀밭,76370,12,0,알라딘·애니툰·북큐브·로망띠끄(단행본)·미소설 외2곳 [7곳],알라딘 26년 2월.csv
검토대상,사슴의 풀밭,사슴의풀밭,29813,5,0,애니툰·로망띠끄(단행본)·피우리·북큐브·알라딘 [5곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,사슴의풀밭,사슴의풀밭,24710,6,0,알라딘·피우리 [2곳],알라딘 26년 2월.csv
검토대상,썰,사슴의풀밭,1050,2,0,알라딘 [1곳],알라딘 4월_B2C.csv
검토대상,아이즈,사슴의풀밭,340914,38,0,알라딘·북큐브·애니툰·피우리·미소설 외2곳 [7곳],알라딘 1월_B2C.csv
검토대상,클린로즈,사슴의풀밭,108346,27,0,알라딘·미소설·로망띠끄(단행본)·피우리·북큐브 외2곳 [7곳],알라딘 4월_B2C.csv
검토대상,타오름그믐,사슴의풀밭,5040,5,0,알라딘·북큐브 [2곳],알라딘 4월_B2C.csv
검토대상,해오름하루,사슴의풀밭,700,1,0,알라딘 [1곳],알라딘 4월_B2C.csv
검토대상,피오렛,삼양씨앤씨,3852831,64,0,원스토리·예스24·북큐브·로망띠끄(단행본)·애니툰 외4곳 [9곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,누디나잇,소이미디어,847354,67,0,리디·애니툰·피우리·미소설·무툰 외1곳 [6곳],리디북스 26년 2월.zip
검토대상,누디나잇 플러스,소이미디어,21147,3,0,애니툰·미소설 [2곳],애니툰 26년 2월.xlsx
검토대상,스노우미디어,소이미디어,18361,3,0,미소설·애니툰·신영미디어 [3곳],미소설 26년 2월.xls
검토대상,썸데이,소이미디어,538049,39,0,애니툰·리디·로망띠끄(단행본)·블라이스·미소설 외4곳 [9곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,프리빌리지,소이미디어,8029,1,0,애니툰·로망띠끄(단행본) [2곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,레이어드,스마트빅,503734,106,0,블라이스·피우리·신영미디어·미소설·미노벨 외1곳 [6곳],피우리_정산_202601.xlsx
검토대상,셀레나,스마트빅,16170,5,0,신영미디어·피우리 [2곳],피우리_정산_202601.xlsx
단독출판사,스마트빅,스마트빅,35658,3,0,원스토리·판무림·하이북 [3곳],원스토리 26년 3월.xlsx
검토대상,일향만리,스마트빅,47810,1,0,무툰·블라이스·판무림 [3곳],무툰 26년 3월.xls
검토대상,페브,스마트빅,106134,32,0,미소설·블라이스·피우리·신영미디어·미노벨 외1곳 [6곳],미소설 1월.xls
검토대상,페일블루,스마트빅,71673,48,0,블라이스·미소설·피우리·신영미디어·미노벨 [5곳],피우리_정산_202601.xlsx
단독출판사,스토리야,스토리야,23323988,347,0,모픽·원스토리·미스터블루·하이북·판무림 외14곳 [19곳],모픽_작품별_정산_202601.xlsx
검토대상,LACE,스토린랩,19356,12,0,밀리의서재·미스터블루·애니툰·무툰·문피아 외1곳 [6곳],밀리의서재 26년 3월 (1).xls
검토대상,Lace,스토린랩,0,1,0,알라딘 [1곳],알라딘 26년 2월.csv
검토대상,NUDI,스토린랩,54441,29,0,리디·무툰·미스터블루·애니툰·문피아 외5곳 [10곳],리디북스 1월.zip
검토대상,답청(踏靑),스토린랩,1866839,4,0,카카오페이지·네이버시리즈·미스터블루 [3곳],카카오페이지 일반계약_2026-02_주식회사 스토린랩_CP월정산내역.xlsx
검토대상,버닝북스,스토린랩,31332,12,0,리디·교보문고·밀리의서재·미스터블루·북큐브 외2곳 [7곳],리디북스 1월.zip
검토대상,스토린랩,스토린랩,924600,20,0,모픽·밀리의서재·리디·교보문고·에이블리 외3곳 [8곳],밀리의서재 26년 3월.xls
검토대상,화월(花月),스토린랩,32205114,3,0,원스토리·리디·카카오페이지·교보문고·알라딘 외5곳 [10곳],리디북스 26년 4월.zip
단독출판사,시간여행,시간여행,76559,6,0,리디·알라딘·예스24·카카오페이지·교보문고 외1곳 [6곳],리디북스 26년 4월.zip
단독출판사,시크릿e북,시크릿e북,0,1,0,알라딘 [1곳],알라딘 1월_B2C.csv
검토대상,식스북,식스북,45850,13,0,애니툰·하이북·원스토리·미소설·미스터블루 [5곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,모던,신드롬,246841,31,0,신영미디어·미소설·애니툰·미노벨·큐툰 [5곳],신영미디어 20260401_20260430.xls
단독출판사,신드롬,신드롬,146559,31,0,애니툰·신영미디어·큐툰·미소설·하이북 [5곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,인첸티드,신드롬,22743,5,0,신영미디어·애니툰 [2곳],애니툰 26년 2월.xlsx
검토대상,어썸S,씨앤제이,700,1,0,피우리 [1곳],피우리_정산_202601.xlsx
검토대상,네이비블루북스,씨에스케이,0,1,0,미스터블루 [1곳],미스터블루_2026-01-01_2026-01-31.xlsx
단독출판사,씨에스케이,씨에스케이,4158,1,0,원스토리 [1곳],원스토리 26년 2월.xlsx
검토대상,아토북,아토북,123550,1,0,북큐브·알라딘 [2곳],북큐브 상세매출 2026-1~2026-1.xlsx
검토대상,아토북(Atto Book),아토북,571025,3,0,예스24·교보문고 [2곳],예스24 26년 2월.xls
검토대상,아트펍,아트펍,373,1,0,네이버시리즈·카카오페이지 [2곳],네이버 26년 2월.xls
단독출판사,알에스미디어,알에스미디어,589,1,0,미스터블루 [1곳],미스터블루 26년 3월.xlsx
단독출판사,애니툰,애니툰,70,1,0,원스토리 [1곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,에브리웨이,에브리웨이,1890,1,0,애니툰 [1곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,한낮,에이엠미디어,1540,1,0,피우리 [1곳],피우리_정산_202603.xlsx
검토대상,Red Cat,에이피북스,3336266,238,0,무툰·미소설·미스터블루·예스24·원스토리 외9곳 [14곳],무툰 [정산]스토린랩__작품내역_[2026-01-01_2026-01-31].xls
검토대상,red cat,에이피북스,148707,42,0,하이북·무툰·블라이스·미스터블루·노벨피아 [5곳],하이북 4월.xls
단독출판사,에필로그,에필로그,55265712,279,0,원스토리·모픽·무툰·판무림·하이북 외8곳 [13곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,엔리즈,엔리즈,268639,3,0,하이북·무툰·판무림·미소설·원스토리 외1곳 [6곳],하이북 1월.xls
검토대상,주식회사 엔리즈,엔리즈,980,1,0,북큐브 [1곳],북큐브 상세매출 2026-3~2026-3.xlsx
검토대상,다하,엔릿미디어,14287,6,0,애니툰·미소설 [2곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
단독출판사,엔블록,엔블록,102970,1,0,무툰·판무림·하이북·미소설 [4곳],판무림 2_26년 3월.xlsx
검토대상,오늘은북스,오늘은북스,130622,3,0,무툰·네이버시리즈·리디·미소설·카카오페이지 [5곳],무툰 [정산]스토린랩__작품내역_[2026-04-01_2026-04-30].xls
검토대상,오쉬컴퍼니,오쉬컴퍼니,1567455,33,0,모픽·밀리의서재·리디·원스토리·알라딘 외9곳 [14곳],모픽_작품별_정산_202603.xlsx
검토대상,와이엠북스,와이엠북스,4150872,172,0,원스토리·미소설·무툰·미노벨·큐툰 [5곳],원스토리 26년 3월.xlsx
검토대상,은밀한상상,와이엠북스,18599,4,0,원스토리 [1곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,콕테일,와이엠북스,17779,13,0,원스토리·미소설 [2곳],원스토리 26년 2월.xlsx
검토대상,달밤,웅진씽크빅,493341,28,0,원스토리·예스24·블라이스·조아라·북큐브 외10곳 [15곳],원스토리 26년 2월.xlsx
검토대상,사막여우,웅진씽크빅,9719283,179,0,원스토리·구루컴퍼니·예스24·북큐브·올툰 외13곳 [18곳],원스토리 26년 2월.xlsx
검토대상,야간비행,웅진씽크빅,1935244,11,0,원스토리·예스24·북큐브·애니툰·조아라 외9곳 [14곳],북큐브 상세매출 2026-1~2026-1 (1).xlsx
단독출판사,위북,위북,35120,6,0,교보문고·밀리의서재 [2곳],교보문고 4월.xlsx
검토대상,아이보리잉크,위즈덤커넥트,0,7,0,미스터블루 [1곳],미스터블루_2026-01-01_2026-01-31.xlsx
단독출판사,위즈덤커넥트,위즈덤커넥트,8355,25,0,네이버시리즈·원스토리·미소설·미스터블루 [4곳],네이버 26년 3월.xls
검토대상,젤라빈,위즈덤커넥트,0,1,0,미스터블루 [1곳],미스터블루_2026-01-01_2026-01-31.xlsx
단독출판사,위즈덤하우스,위즈덤하우스,85792,17,0,무툰·애니툰·미소설·판무림·하이북 외1곳 [6곳],무툰 26년 2월.xls
검토대상,민들레북,율리시즈,334968,2,0,교보문고·알라딘·예스24·밀리의서재·리디 외2곳 [7곳],교보문고 2월.xlsx
단독출판사,율리시즈,율리시즈,190543,6,0,교보문고·북큐브·리디·알라딘·밀리의서재 [5곳],북큐브 상세매출 2026-1~2026-1.xlsx
검토대상,이스토리아,이스토리아,547046,32,0,네이버시리즈·원스토리·애니툰 [3곳],네이버 1월.xls
검토대상,에오스,이플북스,498601,102,0,원스토리·애니툰·로망띠끄(단행본)·미소설 [4곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
