출판사명,레이블명,분야
북큐브,R,장르소설
북큐브,로맨스토리,장르소설
북큐브,북큐브,장르소설
북큐브,비하인드,장르소설
북큐브,은설,장르소설
북큐브,판무스토리,장르소설
북큐브,환상북스,장르소설
뷰컴즈,뷰컴즈,장르소설
블루마운틴소프트,에피루스,장르소설
비룡소,고릴라박스,만화
비엔비컴퍼니,비엔비컴퍼니,장르소설
비즈앤노블,비즈앤노블,장르소설
빅토리북스,길티플레저,장르소설
빅토리북스,빅토리북스,장르소설
빅토리북스,캐롯앤스틱,장르소설
뿔미디어,B&M,
뿔미디어,b&m,
뿔미디어,다향,
뿔미디어,블래이,
뿔미디어,뿔미디어,만화
뿔미디어,스칼렛,
뿔미디어,엉뚱한앙마,
뿔미디어,필,
사슴의풀밭,더 색,
사슴의풀밭,라이즈,
사슴의풀밭,로튼로즈,
사슴의풀밭,블로우,
사슴의풀밭,사슴의 풀밭,
사슴의풀밭,사슴의풀밭,
사슴의풀밭,썰,
사슴의풀밭,아이즈,
사슴의풀밭,클린로즈,
사슴의풀밭,타오름그믐,
사슴의풀밭,해오름하루,
사슴의풀밭,혜리썸,
삼양씨앤씨,단글,장르소설
삼양씨앤씨,드림노블,
삼양씨앤씨,드림북스,일반단행본
삼양씨앤씨,로즈벨벳,장르소설
삼양씨앤씨,벨노블,장르소설
삼양씨앤씨,스윗드림,장르소설
삼양씨앤씨,연담,장르소설
삼양씨앤씨,피오렛,
상상출판,상상출판,일반단행본
소미미디어,愛Romance,장르소설
소미미디어,블랙레코드,장르소설
소미미디어,블랙레코드 플러스,장르소설
소미미디어,소미미디어,장르소설
소미미디어,클릭북스,장르소설
소미미디어,폭시노블,장르소설
소이미디어,누디나잇,
소이미디어,누디나잇 플러스,
소이미디어,스노우미디어,
소이미디어,썸데이,
소이미디어,프리빌리지,
스마트북스,스마트인,장르소설
스마트빅,도서출판쉼표,장르소설
스마트빅,레드립,장르소설
스마트빅,레이디,장르소설
스마트빅,레이어드,
스마트빅,셀레나,
스마트빅,스마트빅,만화
스마트빅,원타임,장르소설
스마트빅,일향만리,
스마트빅,페브,
스마트빅,페일블루,
스마트인,스마트주니어,일반단행본
스토리야,마미,
스토리야,스토리야,일반단행본
스토리튠즈,스토리튠즈,장르소설
스토리펀치,테라스북,장르소설
스토리펀치,판타지존,장르소설
스토린랩,LACE,
스토린랩,Lace,
스토린랩,NUDI,
스토린랩,답청(踏靑),
스토린랩,매드햇,장르소설
스토린랩,버닝북스,
스토린랩,브랜디,장르소설
스토린랩,사이렌,장르소설
스토린랩,슈미즈,장르소설
스토린랩,스토린랩,
스토린랩,시계토끼,장르소설
스토린랩,심월(心月),장르소설
스토린랩,앨리스,장르소설
스토린랩,체셔,장르소설
스토린랩,하트퀸,장르소설
스토린랩,화월(花月),
시간여행,시간여행,일반단행본
시크릿e북,시크릿e북,장르소설
시크릿하우스,Room13,장르소설
식스북,식스북,
신드롬,모던,
신드롬,신드롬,장르소설
신드롬,인첸티드,
씨앤북스,씨앤북스,일반단행본
씨앤제이,더로맨틱,장르소설
씨앤제이,어썸S,
씨에스케이,네이비블루북스,
씨에스케이,노블크런치,장르소설
씨에스케이,씨에스케이,일반단행본
씨에스케이,월드미디어포럼,장르소설
아이웰콘텐츠,낭추,장르소설
아이웰콘텐츠,비티타임즈,일반단행본
아이웰콘텐츠,아이웰콘텐츠,일반단행본
아이웰콘텐츠,엘블링,장르소설
아토북,아토북,
아토북,아토북(Atto Book),
아트펍,아트펍,
알에스미디어,디콘북,
알에스미디어,알에스매니지먼트,일반단행본
알에스미디어,알에스미디어,일반단행본
애니툰,애니툰,장르소설
어나더,폴링인북스,장르소설
에브리웨이,에브리나인,장르소설
에브리웨이,에브리리베,장르소설
에브리웨이,에브리북,장르소설
에브리웨이,에브리웨이,
에이엠미디어,한낮,
에이피북스,Red Cat,
에이피북스,red cat,
에필로그,글누림,장르소설
에필로그,에필로그,장르소설
엔리즈,엔리즈,
엔리즈,주식회사 엔리즈,
엔릿미디어,다크하우스,장르소설
엔릿미디어,다하,
엔릿미디어,라이트하우스,장르소설
엔릿미디어,라하,장르소설
엔블록,방아간,장르소설
엔블록,벨아모르,장르소설
엔블록,엔블록,장르소설
엔블록,이쪽소녀,장르소설
영상노트,X-media,장르소설
영상노트,Xmedia,장르소설
영상노트,굠굠코믹스,만화
영상노트,나이트노벨,장르소설
영상노트,노블엔진 팝,장르소설
영상노트,돌체,장르소설
영상노트,루체,장르소설
영상노트,루체코믹스,만화
영상노트,리체,장르소설
영상노트,리체코믹스,만화
영상노트,바닐라,장르소설
영상노트,시폰,장르소설
영상노트,영상노트,일반단행본
영상노트,체리티노블,장르소설
영상노트,코믹 레인,만화
